timestamp,sensor_id,temperature,unit,battery_level
2026-02-09T10:12:26.774118,TEMP-1000,25.88,Celsius,100.0
2026-02-09T11:12:26.774118,TEMP-1000,26.2,Celsius,100.0
2026-02-09T12:12:26.774118,TEMP-1000,26.13,Celsius,100.0
2026-02-09T13:12:26.774118,TEMP-1000,26.68,Celsius,100.0
2026-02-09T14:12:26.774118,TEMP-1000,25.59,Celsius,100.0
2026-02-09T15:12:26.774118,TEMP-1000,24.67,Celsius,100.0
2026-02-09T16:12:26.774118,TEMP-1000,24.76,Celsius,100.0
2026-02-09T17:12:26.774118,TEMP-1000,24.82,Celsius,100.0
2026-02-09T18:12:26.774118,TEMP-1000,24.13,Celsius,100.0
2026-02-09T19:12:26.774118,TEMP-1000,23.65,Celsius,100.0
2026-02-09T20:12:26.774118,TEMP-1000,22.54,Celsius,100.0
2026-02-09T21:12:26.774118,TEMP-1000,22.08,Celsius,100.0
2026-02-09T22:12:26.774118,TEMP-1000,21.46,Celsius,100.0
2026-02-09T23:12:26.774118,TEMP-1000,21.83,Celsius,100.0
2026-02-10T00:12:26.774118,TEMP-1000,22.0,Celsius,100.0
2026-02-10T01:12:26.774118,TEMP-1000,21.62,Celsius,100.0
2026-02-10T02:12:26.774118,TEMP-1000,21.2,Celsius,100.0
2026-02-10T03:12:26.774118,TEMP-1000,22.64,Celsius,100.0
2026-02-10T04:12:26.774118,TEMP-1000,22.82,Celsius,100.0
2026-02-10T05:12:26.774118,TEMP-1000,22.74,Celsius,100.0
2026-02-10T06:12:26.774118,TEMP-1000,24.01,Celsius,100.0
2026-02-10T07:12:26.774118,TEMP-1000,25.22,Celsius,100.0
2026-02-10T08:12:26.774118,TEMP-1000,25.41,Celsius,100.0
2026-02-10T09:12:26.774118,TEMP-1000,26.14,Celsius,100.0
2026-02-09T10:12:26.774118,TEMP-1001,22.99,Celsius,100.0
2026-02-09T11:12:26.774118,TEMP-1001,23.4,Celsius,100.0
2026-02-09T12:12:26.774118,TEMP-1001,22.49,Celsius,100.0
2026-02-09T13:12:26.774118,TEMP-1001,22.69,Celsius,100.0
2026-02-09T14:12:26.774118,TEMP-1001,22.63,Celsius,100.0
2026-02-09T15:12:26.774118,TEMP-1001,21.87,Celsius,100.0
2026-02-09T16:12:26.774118,TEMP-1001,21.73,Celsius,100.0
2026-02-09T17:12:26.774118,TEMP-1001,21.7,Celsius,100.0
2026-02-09T18:12:26.774118,TEMP-1001,20.38,Celsius,100.0
2026-02-09T19:12:26.774118,TEMP-1001,18.76,Celsius,100.0
2026-02-09T20:12:26.774118,TEMP-1001,18.87,Celsius,100.0
2026-02-09T21:12:26.774118,TEMP-1001,18.39,Celsius,100.0
2026-02-09T22:12:26.774118,TEMP-1001,17.88,Celsius,100.0
2026-02-09T23:12:26.774118,TEMP-1001,17.96,Celsius,100.0
2026-02-10T00:12:26.774118,TEMP-1001,17.93,Celsius,100.0
2026-02-10T01:12:26.774118,TEMP-1001,18.17,Celsius,100.0
2026-02-10T02:12:26.774118,TEMP-1001,18.19,Celsius,100.0
2026-02-10T03:12:26.774118,TEMP-1001,19.71,Celsius,100.0
2026-02-10T04:12:26.774118,TEMP-1001,19.63,Celsius,100.0
2026-02-10T05:12:26.774118,TEMP-1001,19.75,Celsius,100.0
2026-02-10T06:12:26.774118,TEMP-1001,20.66,Celsius,100.0
2026-02-10T07:12:26.774118,TEMP-1001,20.66,Celsius,100.0
2026-02-10T08:12:26.774118,TEMP-1001,21.82,Celsius,100.0
2026-02-10T09:12:26.774118,TEMP-1001,22.82,Celsius,100.0
2026-02-09T10:12:26.774118,TEMP-1002,24.74,Celsius,100.0
2026-02-09T11:12:26.774118,TEMP-1002,23.95,Celsius,100.0
2026-02-09T12:12:26.774118,TEMP-1002,24.88,Celsius,100.0
2026-02-09T13:12:26.774118,TEMP-1002,24.08,Celsius,100.0
2026-02-09T14:12:26.774118,TEMP-1002,24.01,Celsius,100.0
2026-02-09T15:12:26.774118,TEMP-1002,22.77,Celsius,100.0
2026-02-09T16:12:26.774118,TEMP-1002,23.12,Celsius,100.0
2026-02-09T17:12:26.774118,TEMP-1002,22.27,Celsius,100.0
2026-02-09T18:12:26.774118,TEMP-1002,21.98,Celsius,100.0
2026-02-09T19:12:26.774118,TEMP-1002,20.0,Celsius,100.0
2026-02-09T20:12:26.774118,TEMP-1002,21.32,Celsius,100.0
2026-02-09T21:12:26.774118,TEMP-1002,20.62,Celsius,100.0
2026-02-09T22:12:26.774118,TEMP-1002,18.75,Celsius,100.0
2026-02-09T23:12:26.774118,TEMP-1002,18.99,Celsius,100.0
2026-02-10T00:12:26.774118,TEMP-1002,18.53,Celsius,100.0
2026-02-10T01:12:26.774118,TEMP-1002,19.64,Celsius,100.0
2026-02-10T02:12:26.774118,TEMP-1002,19.97,Celsius,100.0
2026-02-10T03:12:26.774118,TEMP-1002,20.23,Celsius,100.0
2026-02-10T04:12:26.774118,TEMP-1002,21.02,Celsius,100.0
2026-02-10T05:12:26.774118,TEMP-1002,21.02,Celsius,100.0
2026-02-10T06:12:26.774118,TEMP-1002,21.78,Celsius,100.0
2026-02-10T07:12:26.774118,TEMP-1002,22.06,Celsius,100.0
2026-02-10T08:12:26.774118,TEMP-1002,23.7,Celsius,100.0
2026-02-10T09:12:26.774118,TEMP-1002,23.92,Celsius,100.0
