timestamp,sensor_id,temperature,humidity,unit,location,battery_level
2026-03-26T16:32:30.509830,TEMP-1000,18.33,74.8,Celsius,Zone-A,100.0
2026-03-26T16:37:30.509830,TEMP-1000,19.8,75.2,Celsius,Zone-A,100.0
2026-03-26T16:42:30.509830,TEMP-1000,18.78,73.6,Celsius,Zone-A,100.0
2026-03-26T16:47:30.509830,TEMP-1000,19.98,74.6,Celsius,Zone-A,100.0
2026-03-26T16:52:30.509830,TEMP-1000,19.91,70.7,Celsius,Zone-A,100.0
2026-03-26T16:57:30.509830,TEMP-1000,18.96,75.4,Celsius,Zone-A,100.0
2026-03-26T17:02:30.509830,TEMP-1000,18.96,71.0,Celsius,Zone-A,100.0
2026-03-26T17:07:30.509830,TEMP-1000,19.59,70.4,Celsius,Zone-A,100.0
2026-03-26T17:12:30.509830,TEMP-1000,19.95,67.4,Celsius,Zone-A,100.0
2026-03-26T17:17:30.509830,TEMP-1000,19.14,70.8,Celsius,Zone-A,100.0
2026-03-26T17:22:30.509830,TEMP-1000,18.56,77.6,Celsius,Zone-A,100.0
2026-03-26T17:27:30.509830,TEMP-1000,20.12,72.7,Celsius,Zone-A,100.0
2026-03-26T17:32:30.509830,TEMP-1000,19.28,76.1,Celsius,Zone-A,100.0
2026-03-26T17:37:30.509830,TEMP-1000,19.52,72.1,Celsius,Zone-A,100.0
2026-03-26T17:42:30.509830,TEMP-1000,19.48,75.4,Celsius,Zone-A,100.0
2026-03-26T17:47:30.509830,TEMP-1000,20.02,75.5,Celsius,Zone-A,100.0
2026-03-26T17:52:30.509830,TEMP-1000,19.48,68.0,Celsius,Zone-A,100.0
2026-03-26T17:57:30.509830,TEMP-1000,19.01,69.2,Celsius,Zone-A,100.0
2026-03-26T18:02:30.509830,TEMP-1000,19.96,65.5,Celsius,Zone-A,100.0
2026-03-26T18:07:30.509830,TEMP-1000,20.3,72.6,Celsius,Zone-A,100.0
2026-03-26T18:12:30.509830,TEMP-1000,19.35,70.6,Celsius,Zone-A,100.0
2026-03-26T18:17:30.509830,TEMP-1000,19.41,71.3,Celsius,Zone-A,100.0
2026-03-26T18:22:30.509830,TEMP-1000,20.5,69.6,Celsius,Zone-A,100.0
2026-03-26T18:27:30.509830,TEMP-1000,20.62,70.8,Celsius,Zone-A,100.0
2026-03-26T18:32:30.509830,TEMP-1000,19.87,69.5,Celsius,Zone-A,100.0
2026-03-26T18:37:30.509830,TEMP-1000,20.92,67.1,Celsius,Zone-A,100.0
2026-03-26T18:42:30.509830,TEMP-1000,19.11,70.6,Celsius,Zone-A,100.0
2026-03-26T18:47:30.509830,TEMP-1000,20.35,66.9,Celsius,Zone-A,100.0
2026-03-26T18:52:30.509830,TEMP-1000,20.18,69.3,Celsius,Zone-A,100.0
2026-03-26T18:57:30.509830,TEMP-1000,19.76,65.6,Celsius,Zone-A,100.0
2026-03-26T19:02:30.509830,TEMP-1000,20.88,70.9,Celsius,Zone-A,100.0
2026-03-26T19:07:30.509830,TEMP-1000,20.33,64.7,Celsius,Zone-A,100.0
2026-03-26T19:12:30.509830,TEMP-1000,20.43,71.8,Celsius,Zone-A,100.0
2026-03-26T19:17:30.509830,TEMP-1000,20.73,66.7,Celsius,Zone-A,100.0
2026-03-26T19:22:30.509830,TEMP-1000,20.85,70.8,Celsius,Zone-A,100.0
2026-03-26T19:27:30.509830,TEMP-1000,20.48,69.0,Celsius,Zone-A,100.0
2026-03-26T19:32:30.509830,TEMP-1000,19.83,71.6,Celsius,Zone-A,100.0
2026-03-26T19:37:30.509830,TEMP-1000,20.2,67.5,Celsius,Zone-A,100.0
2026-03-26T19:42:30.509830,TEMP-1000,20.49,67.7,Celsius,Zone-A,100.0
2026-03-26T19:47:30.509830,TEMP-1000,20.21,69.2,Celsius,Zone-A,100.0
2026-03-26T19:52:30.509830,TEMP-1000,20.62,67.2,Celsius,Zone-A,100.0
2026-03-26T19:57:30.509830,TEMP-1000,21.11,64.0,Celsius,Zone-A,100.0
2026-03-26T20:02:30.509830,TEMP-1000,21.26,72.1,Celsius,Zone-A,100.0
2026-03-26T20:07:30.509830,TEMP-1000,21.1,72.6,Celsius,Zone-A,100.0
2026-03-26T20:12:30.509830,TEMP-1000,21.71,67.0,Celsius,Zone-A,100.0
2026-03-26T20:17:30.509830,TEMP-1000,20.94,70.8,Celsius,Zone-A,100.0
2026-03-26T20:22:30.509830,TEMP-1000,21.28,64.6,Celsius,Zone-A,100.0
2026-03-26T20:27:30.509830,TEMP-1000,21.12,62.7,Celsius,Zone-A,100.0
2026-03-26T20:32:30.509830,TEMP-1000,21.54,65.5,Celsius,Zone-A,100.0
2026-03-26T20:37:30.509830,TEMP-1000,21.14,70.2,Celsius,Zone-A,100.0
2026-03-26T20:42:30.509830,TEMP-1000,22.21,61.5,Celsius,Zone-A,100.0
2026-03-26T20:47:30.509830,TEMP-1000,22.1,64.7,Celsius,Zone-A,100.0
2026-03-26T20:52:30.509830,TEMP-1000,21.43,69.2,Celsius,Zone-A,100.0
2026-03-26T20:57:30.509830,TEMP-1000,21.96,65.8,Celsius,Zone-A,100.0
2026-03-26T21:02:30.509830,TEMP-1000,22.78,62.8,Celsius,Zone-A,100.0
2026-03-26T21:07:30.509830,TEMP-1000,21.94,66.4,Celsius,Zone-A,100.0
2026-03-26T21:12:30.509830,TEMP-1000,22.87,63.1,Celsius,Zone-A,100.0
2026-03-26T21:17:30.509830,TEMP-1000,22.31,64.2,Celsius,Zone-A,100.0
2026-03-26T21:22:30.509830,TEMP-1000,21.99,65.2,Celsius,Zone-A,100.0
2026-03-26T21:27:30.509830,TEMP-1000,22.38,66.0,Celsius,Zone-A,100.0
2026-03-26T21:32:30.509830,TEMP-1000,22.42,66.9,Celsius,Zone-A,100.0
2026-03-26T21:37:30.509830,TEMP-1000,22.74,60.8,Celsius,Zone-A,100.0
2026-03-26T21:42:30.509830,TEMP-1000,22.41,63.3,Celsius,Zone-A,100.0
2026-03-26T21:47:30.509830,TEMP-1000,23.3,58.3,Celsius,Zone-A,100.0
2026-03-26T21:52:30.509830,TEMP-1000,23.68,61.8,Celsius,Zone-A,100.0
2026-03-26T21:57:30.509830,TEMP-1000,23.25,61.7,Celsius,Zone-A,100.0
2026-03-26T22:02:30.509830,TEMP-1000,22.74,62.7,Celsius,Zone-A,100.0
2026-03-26T22:07:30.509830,TEMP-1000,22.19,68.7,Celsius,Zone-A,100.0
2026-03-26T22:12:30.509830,TEMP-1000,23.64,63.8,Celsius,Zone-A,100.0
2026-03-26T22:17:30.509830,TEMP-1000,22.27,63.8,Celsius,Zone-A,100.0
2026-03-26T22:22:30.509830,TEMP-1000,22.43,66.4,Celsius,Zone-A,100.0
2026-03-26T22:27:30.509830,TEMP-1000,22.75,59.1,Celsius,Zone-A,100.0
2026-03-26T22:32:30.509830,TEMP-1000,23.32,61.6,Celsius,Zone-A,100.0
2026-03-26T22:37:30.509830,TEMP-1000,23.92,59.1,Celsius,Zone-A,100.0
2026-03-26T22:42:30.509830,TEMP-1000,23.28,60.1,Celsius,Zone-A,100.0
2026-03-26T22:47:30.509830,TEMP-1000,24.33,58.3,Celsius,Zone-A,100.0
2026-03-26T22:52:30.509830,TEMP-1000,24.41,61.2,Celsius,Zone-A,100.0
2026-03-26T22:57:30.509830,TEMP-1000,22.52,67.7,Celsius,Zone-A,100.0
2026-03-26T23:02:30.509830,TEMP-1000,24.35,61.8,Celsius,Zone-A,100.0
2026-03-26T23:07:30.509830,TEMP-1000,23.64,55.8,Celsius,Zone-A,100.0
2026-03-26T23:12:30.509830,TEMP-1000,23.6,66.2,Celsius,Zone-A,100.0
2026-03-26T23:17:30.509830,TEMP-1000,24.04,63.6,Celsius,Zone-A,100.0
2026-03-26T23:22:30.509830,TEMP-1000,25.67,58.6,Celsius,Zone-A,100.0
2026-03-26T23:27:30.509830,TEMP-1000,24.41,54.3,Celsius,Zone-A,100.0
2026-03-26T23:32:30.509830,TEMP-1000,24.18,58.4,Celsius,Zone-A,100.0
2026-03-26T23:37:30.509830,TEMP-1000,24.52,60.9,Celsius,Zone-A,100.0
2026-03-26T23:42:30.509830,TEMP-1000,25.01,63.2,Celsius,Zone-A,100.0
2026-03-26T23:47:30.509830,TEMP-1000,25.16,59.5,Celsius,Zone-A,100.0
2026-03-26T23:52:30.509830,TEMP-1000,24.21,55.3,Celsius,Zone-A,100.0
2026-03-26T23:57:30.509830,TEMP-1000,25.02,49.9,Celsius,Zone-A,100.0
2026-03-27T00:02:30.509830,TEMP-1000,24.75,57.0,Celsius,Zone-A,100.0
2026-03-27T00:07:30.509830,TEMP-1000,25.3,55.2,Celsius,Zone-A,100.0
2026-03-27T00:12:30.509830,TEMP-1000,24.55,56.5,Celsius,Zone-A,100.0
2026-03-27T00:17:30.509830,TEMP-1000,25.49,58.2,Celsius,Zone-A,100.0
2026-03-27T00:22:30.509830,TEMP-1000,25.75,61.8,Celsius,Zone-A,100.0
2026-03-27T00:27:30.509830,TEMP-1000,25.27,56.7,Celsius,Zone-A,100.0
2026-03-27T00:32:30.509830,TEMP-1000,25.58,58.2,Celsius,Zone-A,100.0
2026-03-27T00:37:30.509830,TEMP-1000,24.72,63.9,Celsius,Zone-A,100.0
2026-03-27T00:42:30.509830,TEMP-1000,24.72,60.0,Celsius,Zone-A,100.0
2026-03-27T00:47:30.509830,TEMP-1000,25.66,56.0,Celsius,Zone-A,100.0
2026-03-27T00:52:30.509830,TEMP-1000,25.76,59.0,Celsius,Zone-A,100.0
2026-03-27T00:57:30.509830,TEMP-1000,26.02,58.1,Celsius,Zone-A,100.0
2026-03-27T01:02:30.509830,TEMP-1000,25.44,55.0,Celsius,Zone-A,100.0
2026-03-27T01:07:30.509830,TEMP-1000,26.08,54.8,Celsius,Zone-A,100.0
2026-03-27T01:12:30.509830,TEMP-1000,24.99,64.3,Celsius,Zone-A,100.0
2026-03-27T01:17:30.509830,TEMP-1000,26.14,52.0,Celsius,Zone-A,100.0
2026-03-27T01:22:30.509830,TEMP-1000,25.83,59.6,Celsius,Zone-A,100.0
2026-03-27T01:27:30.509830,TEMP-1000,26.18,62.7,Celsius,Zone-A,100.0
2026-03-27T01:32:30.509830,TEMP-1000,25.84,53.4,Celsius,Zone-A,100.0
2026-03-27T01:37:30.509830,TEMP-1000,26.91,60.4,Celsius,Zone-A,100.0
2026-03-27T01:42:30.509830,TEMP-1000,26.62,61.8,Celsius,Zone-A,100.0
